"lma"	"mode"
"430"	64.7895921905808	"Understory"
"431"	57.4665830540909	"Understory"
"432"	67.4553119014226	"Canopy"
"433"	62.4231838636185	"Transient"
"434"	57.3157429415363	"Canopy"
"435"	112.387158808309	"Canopy"
"436"	92.6887381056922	"Canopy"
"437"	103.957822829255	"Transient"
"438"	54.7037017919511	"Understory"
"439"	79.050199895861	"Canopy"
"440"	26.5884121907653	"Transient"
"441"	62.6885809253702	"Canopy"
"442"	107.901746763985	"Understory"
"443"	98.3695063485879	"Understory"
"444"	53.0669757478375	"Transient"
"445"	85.1632468047721	"Transient"
"446"	43.3665076419722	"Transient"
"447"	42.4168217503788	"Transient"
"448"	30.5124156343455	"Canopy"
"449"	41.9541330474581	"Transient"
"450"	107.391338435471	"Canopy"
"451"	89.5780821896408	"Canopy"
"452"	106.155671728121	"Understory"
"453"	140.043508717288	"Canopy"
"454"	105.1947812869	"Canopy"
"455"	85.684233952205	"Canopy"
"456"	59.3453173546185	"Understory"
"457"	77.3479836086474	"Understory"
"458"	88.1811349503763	"Understory"
"459"	61.6803370936019	"Canopy"
"460"	69.8396687302815	"Canopy"
"461"	73.7568971254612	"Understory"
"462"	134.437530812334	"Canopy"
"463"	104.099832752293	"Canopy"
"464"	108.930815416402	"Canopy"
"465"	NA	"Canopy"
"466"	70.5686025277412	"Canopy"
"467"	70.8367433905479	"Canopy"
"468"	56.0087332625497	"Canopy"
"469"	113.35088555398	"Large Canopy"
"470"	81.2512787935641	"Canopy"
"471"	93.1124731541609	"Understory"
"472"	91.7681590922686	"Canopy"
"473"	73.0070712393284	"Understory"
"474"	141.043768314313	"Canopy"
"475"	54.8198747249864	"Understory"
"476"	115.961575334197	"Canopy"
"477"	159.335944684607	"Understory"
"478"	154.21342624075	"Canopy"
"479"	75.3379337071401	"Canopy"
"480"	73.3299206810414	"Canopy"
"481"	84.3985539985616	"Canopy"
"482"	89.5714548241822	"Canopy"
"483"	81.1728371010517	"Canopy"
"484"	89.7160837814797	"Canopy"
"485"	54.7979727301483	"Large Canopy"
"486"	53.8996911655496	"Large Canopy"
"487"	62.7700729860091	"Canopy"
"488"	47.4717630832416	"Canopy"
"489"	94.2981764579031	"Canopy"
"490"	116.94102850582	"Canopy"
"491"	72.7331434821304	"Canopy"
"492"	99.6787260959924	"Canopy"
"493"	95.1792737217598	"Canopy"
"494"	85.7886549678577	"Canopy"
"495"	74.637329045381	"Canopy"
"496"	85.3047222659729	"Canopy"
"497"	115.026523906334	"Canopy"
"498"	76.7220688796986	"Canopy"
"499"	83.4462401990962	"Canopy"
"500"	104.406190465668	"Canopy"
"501"	115.785770671226	"Canopy"
"502"	75.99521376976	"Canopy"
"503"	123.229645603485	"Canopy"
"504"	94.9098373628823	"Canopy"
"505"	50.8621375434634	"Large Canopy"
"506"	134.657253248136	"Canopy"
"507"	96.1897460168625	"Canopy"
"508"	121.015905802424	"Canopy"
"509"	47.1297940795328	"Canopy"
"510"	44.7505575906051	"Understory"
"511"	54.3575848391699	"Large Canopy"
"512"	69.0758553922553	"Canopy"
"513"	64.7330511991199	"Canopy"
"514"	43.7307370285141	"Canopy"
"515"	NA	"Canopy"
"516"	68.8117679760685	"Canopy"
"517"	79.1723256669884	"Canopy"
"518"	85.8916177446049	"Transient"
"519"	64.5929630702691	"Understory"
"520"	41.4820167973827	"Understory"
"521"	79.9495010169756	"Canopy"
"522"	118.493807247674	"Understory"
"523"	83.6993025352186	"Understory"
"524"	90.7170793039763	"Canopy"
"525"	71.3969493117387	"Canopy"
"526"	47.1375086086761	"Understory"
"527"	59.6621036876971	"Canopy"
"528"	49.1892071174587	"Transient"
"529"	52.8679778040414	"Transient"
"530"	49.0296072152217	"Canopy"
"531"	63.6252500461988	"Canopy"
"532"	54.8735801471426	"Large Canopy"
"533"	74.3139908484089	"Canopy"
"534"	84.3733134512908	"Canopy"
"535"	94.6604248566985	"Canopy"
"536"	NA	"Canopy"
"537"	90.0892213378151	"Canopy"
"538"	110.632278702424	"Canopy"
"539"	51.2231441146855	"Large Canopy"
"540"	53.1825834006281	"Canopy"
"541"	89.4273340468234	"Transient"
"542"	140.223473864242	"Canopy"
"543"	63.7536800983039	"Canopy"
"544"	100.441888503904	"Transient"
"545"	83.2017481046708	"Canopy"
"546"	93.3526193123444	"Understory"
"547"	63.0389358190477	"Understory"
"548"	122.511110226309	"Canopy"
"549"	69.198684786823	"Understory"
"550"	57.8981353742809	"Canopy"
"551"	81.1874707445516	"Understory"
"552"	155.539540751647	"Understory"
"553"	108.411939871288	"Canopy"
"554"	NA	"Canopy"
"555"	61.8257025731723	"Canopy"
"556"	75.9598150823324	"Canopy"
"557"	37.1437910438891	"Understory"
"558"	56.6448546137641	"Canopy"
"559"	72.4317138808581	"Canopy"
"560"	47.0024345427998	"Canopy"
"561"	30.480618709766	"Canopy"
"562"	92.1416084759776	"Large Canopy"
"563"	147.812638095112	"Canopy"
"564"	53.892215555954	"Canopy"
"565"	69.4042243590467	"Canopy"
"566"	63.1723420519778	"Canopy"
"567"	80.4977109067194	"Canopy"
"568"	93.531403751978	"Canopy"
"569"	79.1435789743565	"Canopy"
"570"	64.0480127268115	"Canopy"
"571"	48.378861201636	"Canopy"
"572"	77.0508691086079	"Understory"
"573"	73.1852753886935	"Canopy"
"574"	66.3337959837001	"Understory"
"575"	94.7661922723519	"Large Canopy"
"576"	132.450238305403	"Large Canopy"
"577"	93.8696100651892	"Canopy"
"578"	88.1475382396604	"Large Canopy"
"579"	NA	"Large Canopy"
"580"	91.1944261645724	"Large Canopy"
"581"	66.9371690487468	"Large Canopy"
"582"	59.9149949538273	"Canopy"
"583"	91.2148323300491	"Large Canopy"
"584"	64.7903535767683	"Canopy"
"585"	74.9533953841263	"Large Canopy"
"586"	94.3889930714741	"Canopy"
"587"	76.3866364326425	"Canopy"
"588"	91.9551217993635	"Canopy"
"589"	72.2337911139732	"Canopy"
"590"	59.2799160705463	"Large Canopy"
"591"	83.6366786881289	"Canopy"
"592"	93.286668381512	"Canopy"
"593"	66.4579967091808	"Canopy"
"594"	69.4233773902579	"Large Canopy"
"595"	69.4381442830369	"Canopy"
"596"	92.6688853414127	"Large Canopy"
"597"	60.8470757255013	"Large Canopy"
"598"	81.1975400354296	"Canopy"
"599"	61.4606334277559	"Large Canopy"
"600"	94.6345317865265	"Canopy"
"601"	76.3810928457821	"Canopy"
"602"	93.102518274807	"Canopy"
"603"	36.3018590611476	"Canopy"
"604"	74.68014064484	"Understory"
"605"	91.2200146607713	"Understory"
"606"	89.2670620128094	"Canopy"
"607"	87.074844186184	"Canopy"
"608"	89.2213460235971	"Canopy"
"609"	150.587158357122	"Canopy"
"610"	109.349257360052	"Understory"
"611"	86.6827493505674	"Canopy"
"612"	95.8726256543854	"Transient"
"613"	100.938140211573	"Canopy"
"614"	77.5519097449758	"Canopy"
"615"	132.086170620613	"Canopy"
"616"	NA	"Canopy"
"617"	74.0628950755528	"Understory"
"618"	122.254456738327	"Canopy"
"619"	54.018300071214	"Understory"
"620"	68.6737121715415	"Canopy"
"621"	109.309149107921	"Understory"
"622"	64.6158758511192	"Canopy"
"623"	63.6500906232168	"Understory"
"624"	85.3963470382079	"Understory"
"625"	79.8360655809688	"Understory"
"626"	77.6914491802797	"Transient"
"627"	60.4809763067572	"Understory"
"628"	50.9031010838047	"Understory"
"629"	62.2978885177291	"Large Canopy"
"630"	65.9812122219538	"Transient"
"631"	119.494879604796	"Canopy"
"632"	96.0528344071458	"Canopy"
"633"	127.803610208165	"Canopy"
"634"	99.8834498977688	"Canopy"
"635"	34.1505970309483	"Canopy"
"636"	43.925376551762	"Canopy"
"637"	75.0992803286283	"Canopy"
"638"	78.5485531287784	"Canopy"
"639"	96.7864111468376	"Canopy"
"640"	68.1786718445786	"Understory"
"641"	NA	"Canopy"
"642"	81.6669211013205	"Understory"
"643"	74.3667302940975	"Canopy"
"644"	75.9573271857402	"Canopy"
"645"	106.015653487938	"Canopy"
"646"	69.4081607018361	"Canopy"
"647"	103.455948290757	"Canopy"
"648"	64.2467371578183	"Understory"
"649"	83.7720043169791	"Understory"
"650"	60.5833484227774	"Canopy"
"651"	93.3233891289519	"Canopy"
"652"	75.2603267307722	"Canopy"
"653"	98.6282232420876	"Canopy"
"654"	NA	"Canopy"
"655"	52.5150921810542	"Canopy"
"656"	57.2260587309576	"Canopy"
"657"	92.2180757747721	"Large Canopy"
"658"	41.9788322829663	"Canopy"
"659"	51.5773122981276	"Canopy"
"660"	99.6161710551091	"Canopy"
"661"	49.7182925544486	"Understory"
"662"	83.9106444674632	"Understory"
"663"	55.7247599281126	"Transient"
"664"	25.5609706628658	"Canopy"
"665"	48.2132303515269	"Transient"
"666"	77.7695737101831	"Large Canopy"
"667"	60.5525134959632	"Canopy"
"668"	NA	"Large Canopy"
"669"	85.4080598218915	"Large Canopy"
"670"	88.0707241523317	"Large Canopy"
"671"	75.2235654430358	"Canopy"
"672"	78.3692380522764	"Large Canopy"
"673"	91.4494324972013	"Canopy"
"674"	100.71898242206	"Canopy"
"675"	99.6428508806855	"Large Canopy"
"676"	NA	"Large Canopy"
"677"	71.6321179307123	"Large Canopy"
"678"	55.0254178255354	"Large Canopy"
"679"	76.657542953086	"Large Canopy"
"680"	64.8014108380111	"Understory"
"681"	71.3057513200355	"Large Canopy"
"682"	88.0762994074956	"Canopy"
"683"	96.4980004031488	"Understory"
"684"	89.069850738986	"Canopy"
"685"	41.1597431023178	"Understory"
"686"	84.6471809123772	"Canopy"
"687"	58.7932543534015	"Large Canopy"
"688"	78.56316372967	"Large Canopy"
"689"	80.0383462755305	"Canopy"
"690"	72.9840980076906	"Large Canopy"
"691"	96.9662018172748	"Large Canopy"
"692"	104.847229808131	"Large Canopy"
"693"	NA	"Large Canopy"
"694"	46.5192636040206	"Transient"
"695"	NA	"Large Canopy"
"696"	60.8200888720462	"Large Canopy"
"697"	112.969571007381	"Large Canopy"
"698"	82.5850142371726	"Understory"
"699"	104.376455777043	"Canopy"
"700"	66.8448657922261	"Large Canopy"
"701"	62.3861002756654	"Large Canopy"
